video_id,dataset,subset,generator,legacy_reference,legacy_selector
comgenvid:datasets/comgenvid/real/MSVD/hcCLIzzB1jQ_1_7.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/q-a6NEotUX8_5_10.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/xgIIcPSh4EU_0_6.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/bDoCQEwghZU_201_211.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/tZmDWltBziM_42_47.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/qeKX-N1nKiM_68_72.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/pUPKsHTDZTo_70_85.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/puineN1UMto_25_29.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/klFyrnrUSck_25_36.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/kWLNZzuo3do_217_222.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/b24_bb57PPk_631_637.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/c51L6ZxZGjQ_137_154.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/hReROJQpSow_24_30.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/sXyjCgR0rAc_0_11.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/p7IAuvd87hQ_12_19.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/mv89psg6zh4_33_46.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/ht2oIYBSoI0_9_21.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
comgenvid:datasets/comgenvid/real/MSVD/ZnLgsasu82g_71_81.mp4,comgenvid,real,Sora,vatex_5000_video256,feature_change
