video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,video_id,source_group,dataset,split,legacy_video_id,legacy_path,legacy_source_group,real_source,generator,content_sha256,exclusion_reason,feature_asset,feature_asset_sha256
datasets/vifbench_download/source_videos/Real/-_Rkkl9E2eI_000000_000010.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-_Rkkl9E2eI_000000_000010.mp4,vifbench:real-content:-_Rkkl9E2eI,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/-_Rkkl9E2eI_000000_000010.mp4,datasets/vifbench_download/source_videos/Real/-_Rkkl9E2eI_000000_000010.mp4,vifbench:-_Rkkl9E2eI,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/000.npz,67de745f7fd201234c0ee7048ddc7fb44671eee2f4e69e5d2475cf7992047436
datasets/vifbench_download/source_videos/Real/-bygGx1nGh8.59.mp4,real,ViF-Bench-Real,16.0,5.0,80,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-bygGx1nGh8.59.mp4,vifbench:real-content:-bygGx1nGh8,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/-bygGx1nGh8.59.mp4,datasets/vifbench_download/source_videos/Real/-bygGx1nGh8.59.mp4,vifbench:-bygGx1nGh8,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/001.npz,e14104b88cac1e80f0d932d8c744896b8e91960c892504005adc5f8e5d4479ed
datasets/vifbench_download/source_videos/Real/-vAOikxwtSI_000006_000016.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-vAOikxwtSI_000006_000016.mp4,vifbench:real-content:-vAOikxwtSI,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/-vAOikxwtSI_000006_000016.mp4,datasets/vifbench_download/source_videos/Real/-vAOikxwtSI_000006_000016.mp4,vifbench:-vAOikxwtSI,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/002.npz,2064cb5e8ba0eac9aafb1d88dd263d1a4e5ec3c5249aab9726fa3b3bd6f59fc6
datasets/vifbench_download/source_videos/Real/-y8pIn7FPVc.18.mp4,real,ViF-Bench-Real,16.0,5.0,80,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-y8pIn7FPVc.18.mp4,vifbench:real-content:-y8pIn7FPVc,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/-y8pIn7FPVc.18.mp4,datasets/vifbench_download/source_videos/Real/-y8pIn7FPVc.18.mp4,vifbench:-y8pIn7FPVc,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/003.npz,2667089313090b8d2969750c6819b70dcc0864463ebcf42864be64fc355eef50
datasets/vifbench_download/source_videos/Real/04FSkw_vAFo_000096_000106.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/04FSkw_vAFo_000096_000106.mp4,vifbench:real-content:04FSkw_vAFo,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/04FSkw_vAFo_000096_000106.mp4,datasets/vifbench_download/source_videos/Real/04FSkw_vAFo_000096_000106.mp4,vifbench:04FSkw_vAFo,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/004.npz,d773bd55ddd5d7bcf3a081812b62823b057319d352b3316f7042b286293e84a6
datasets/vifbench_download/source_videos/Real/0SushsrHdOw-2.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0SushsrHdOw-2.mp4,vifbench:real-content:0SushsrHdOw,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/0SushsrHdOw-2.mp4,datasets/vifbench_download/source_videos/Real/0SushsrHdOw-2.mp4,vifbench:0SushsrHdOw,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/005.npz,7908ff404d3f9303e051dd0d681e02bad315cc02793b995284eb022b0d2c0c24
datasets/vifbench_download/source_videos/Real/0dGQUlhspug_000090_000100.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0dGQUlhspug_000090_000100.mp4,vifbench:real-content:0dGQUlhspug,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/0dGQUlhspug_000090_000100.mp4,datasets/vifbench_download/source_videos/Real/0dGQUlhspug_000090_000100.mp4,vifbench:0dGQUlhspug,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/006.npz,4e1d7bb96c02e4c948547e682185719f1ab854efab35ced9aaf998296ff7063f
datasets/vifbench_download/source_videos/Real/0fGk1wfhneQ.70.mp4,real,ViF-Bench-Real,16.0,5.0,80,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0fGk1wfhneQ.70.mp4,vifbench:real-content:0fGk1wfhneQ,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/0fGk1wfhneQ.70.mp4,datasets/vifbench_download/source_videos/Real/0fGk1wfhneQ.70.mp4,vifbench:0fGk1wfhneQ,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/007.npz,77bb87e48498ababdf4ca23cde73f9cf97ff38fc35f0f74991fa824e6406b3c1
datasets/vifbench_download/source_videos/Real/0oyN_FPkYz4_000025_000035.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0oyN_FPkYz4_000025_000035.mp4,vifbench:real-content:0oyN_FPkYz4,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/0oyN_FPkYz4_000025_000035.mp4,datasets/vifbench_download/source_videos/Real/0oyN_FPkYz4_000025_000035.mp4,vifbench:0oyN_FPkYz4,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/008.npz,993309064924d1eea7c542931210d7eab0c2414cf89fbbe5b5dc1ee76cdcca6f
datasets/vifbench_download/source_videos/Real/0sAkk8Skm3k-1.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0sAkk8Skm3k-1.mp4,vifbench:real-content:0sAkk8Skm3k,vifbench,fit,vifbench:datasets/vifbench_download/source_videos/Real/0sAkk8Skm3k-1.mp4,datasets/vifbench_download/source_videos/Real/0sAkk8Skm3k-1.mp4,vifbench:0sAkk8Skm3k,ViF-Bench-Real,,,,cache/fit/target/fit/vifbench/009.npz,a4a20da39eb957b80f68724a40b62bddf6204176ec3116565708ff4867c26fe8
