video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,video_id,source_group,dataset,split,legacy_video_id,legacy_path,legacy_source_group,real_source,generator,content_sha256,exclusion_reason
datasets/vifbench_download/source_videos/Real/-0mnCHRQ-Zc_000092_000102.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-0mnCHRQ-Zc_000092_000102.mp4,vifbench:real-content:-0mnCHRQ-Zc,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-0mnCHRQ-Zc_000092_000102.mp4,datasets/vifbench_download/source_videos/Real/-0mnCHRQ-Zc_000092_000102.mp4,vifbench:-0mnCHRQ-Zc,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/-6Uat2UGZ9c_000001_000011.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-6Uat2UGZ9c_000001_000011.mp4,vifbench:real-content:-6Uat2UGZ9c,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-6Uat2UGZ9c_000001_000011.mp4,datasets/vifbench_download/source_videos/Real/-6Uat2UGZ9c_000001_000011.mp4,vifbench:-6Uat2UGZ9c,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/-EgW0xV1fsE-0.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-EgW0xV1fsE-0.mp4,vifbench:real-content:-EgW0xV1fsE,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-EgW0xV1fsE-0.mp4,datasets/vifbench_download/source_videos/Real/-EgW0xV1fsE-0.mp4,vifbench:-EgW0xV1fsE,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/-KpRqKiCZ3E.31.mp4,real,ViF-Bench-Real,16.0,5.0,80,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-KpRqKiCZ3E.31.mp4,vifbench:real-content:-KpRqKiCZ3E,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-KpRqKiCZ3E.31.mp4,datasets/vifbench_download/source_videos/Real/-KpRqKiCZ3E.31.mp4,vifbench:-KpRqKiCZ3E,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/-TfD4eKDfbI-1.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-TfD4eKDfbI-1.mp4,vifbench:real-content:-TfD4eKDfbI,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-TfD4eKDfbI-1.mp4,datasets/vifbench_download/source_videos/Real/-TfD4eKDfbI-1.mp4,vifbench:-TfD4eKDfbI,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/-l2yvybjqhI_000034_000044.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/-l2yvybjqhI_000034_000044.mp4,vifbench:real-content:-l2yvybjqhI,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/-l2yvybjqhI_000034_000044.mp4,datasets/vifbench_download/source_videos/Real/-l2yvybjqhI_000034_000044.mp4,vifbench:-l2yvybjqhI,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/0Z0WbrtVqSY_000006_000016.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/0Z0WbrtVqSY_000006_000016.mp4,vifbench:real-content:0Z0WbrtVqSY,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/0Z0WbrtVqSY_000006_000016.mp4,datasets/vifbench_download/source_videos/Real/0Z0WbrtVqSY_000006_000016.mp4,vifbench:0Z0WbrtVqSY,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/1OnoVMDrv3Q-0.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/1OnoVMDrv3Q-0.mp4,vifbench:real-content:1OnoVMDrv3Q,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/1OnoVMDrv3Q-0.mp4,datasets/vifbench_download/source_videos/Real/1OnoVMDrv3Q-0.mp4,vifbench:1OnoVMDrv3Q,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/1bC_0TiWf9I_000024_000034.mp4,real,ViF-Bench-Real,16.0,5.0625,81,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/1bC_0TiWf9I_000024_000034.mp4,vifbench:real-content:1bC_0TiWf9I,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/1bC_0TiWf9I_000024_000034.mp4,datasets/vifbench_download/source_videos/Real/1bC_0TiWf9I_000024_000034.mp4,vifbench:1bC_0TiWf9I,ViF-Bench-Real,,,
datasets/vifbench_download/source_videos/Real/1gqmO-3zOhY.29.mp4,real,ViF-Bench-Real,16.0,5.0,80,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78]","[56, 58, 60, 62, 64, 66, 68, 70]","[28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]","[20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66]","[14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]",vifbench:datasets/vifbench_download/source_videos/Real/1gqmO-3zOhY.29.mp4,vifbench:real-content:1gqmO-3zOhY,vifbench,evaluation,vifbench:datasets/vifbench_download/source_videos/Real/1gqmO-3zOhY.29.mp4,datasets/vifbench_download/source_videos/Real/1gqmO-3zOhY.29.mp4,vifbench:1gqmO-3zOhY,ViF-Bench-Real,,,
