video_id,dataset,subset,generator,legacy_reference,legacy_selector
videofeedback:datasets/videofeedback/real/Panda70M/p109820.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p100283.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p107760.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/DiDeMo/p004391.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p109838.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p102316.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p111727.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/DiDeMo/p005726.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/DiDeMo/p007662.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p103605.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p110148.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/DiDeMo/p006156.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p102373.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/DiDeMo/p001113.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p111478.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
videofeedback:datasets/videofeedback/real/Panda70M/p100885.mp4,videofeedback,real,AnimateDiff,vatex_5000_video256,feature_change
