subset,source_model,filename,final_score
real,MSR-VTT,video0.mp4,0.29728337650105957
real,MSR-VTT,video1.mp4,0.2762096774193548
real,MSR-VTT,video10.mp4,0.7893660230751118
real,MSR-VTT,video100.mp4,0.0041352719566753
real,MSR-VTT,video1000.mp4,0.16546974334824582
real,MSR-VTT,video1001.mp4,0.26453967506475157
real,MSR-VTT,video1002.mp4,0.5074022839651519
real,MSR-VTT,video1003.mp4,0.0605574523192842
real,MSR-VTT,video1004.mp4,0.28074228867435835
real,MSR-VTT,video1005.mp4,0.21899281846008947
real,MSR-VTT,video1006.mp4,0.12997409936425713
real,MSR-VTT,video1007.mp4,0.2206704732752531
real,MSR-VTT,video1008.mp4,0.44672710148340006
real,MSR-VTT,video1009.mp4,0.11327113256416294
real,MSR-VTT,video101.mp4,0.31107252178008005
real,MSR-VTT,video1010.mp4,0.48397398163409466
real,MSR-VTT,video1011.mp4,0.06035142453496586
real,MSR-VTT,video1012.mp4,0.35994525547445255
real,MSR-VTT,video1013.mp4,0.19228278785024724
real,MSR-VTT,video1014.mp4,0.012729573816811867
real,MSR-VTT,video1015.mp4,0.4956439839886979
real,MSR-VTT,video1016.mp4,0.16888391805980693
real,MSR-VTT,video1017.mp4,0.2967094419590299
real,MSR-VTT,video1018.mp4,0.05097716034848128
real,MSR-VTT,video1019.mp4,0.5402342830233106
real,MSR-VTT,video102.mp4,0.06900459147633624
real,MSR-VTT,video1020.mp4,0.8990758182246291
real,MSR-VTT,video1021.mp4,0.02247174476100777
real,MSR-VTT,video1022.mp4,0.08767953849776314
real,MSR-VTT,video1023.mp4,0.024237697198022132
real,MSR-VTT,video1024.mp4,0.5722716034848128
real,MSR-VTT,video1025.mp4,0.4852101483400047
real,MSR-VTT,video1026.mp4,0.3655080056510478
real,MSR-VTT,video1027.mp4,0.012435248410642806
real,MSR-VTT,video1028.mp4,0.005665764068754415
real,MSR-VTT,video1029.mp4,0.1478102189781022
real,MSR-VTT,video103.mp4,0.34464033435366137
real,MSR-VTT,video1030.mp4,0.19084059336001885
real,MSR-VTT,video1031.mp4,0.016644101718860372
real,MSR-VTT,video1032.mp4,0.0039586767129738635
real,MSR-VTT,video1033.mp4,0.20267247468801508
real,MSR-VTT,video1034.mp4,0.1279138215210737
real,MSR-VTT,video1035.mp4,0.24046385684012245
real,MSR-VTT,video1036.mp4,0.2005680480339063
real,MSR-VTT,video1037.mp4,0.2889539675064752
real,MSR-VTT,video1038.mp4,0.1361549328938074
real,MSR-VTT,video1039.mp4,0.8013744996468095
real,MSR-VTT,video104.mp4,0.1901342123852131
real,MSR-VTT,video1040.mp4,0.2718683776783612
real,MSR-VTT,video1041.mp4,0.20521838945137744
real,MSR-VTT,video1042.mp4,0.06934306569343066
real,MSR-VTT,video1043.mp4,0.07527372262773722
real,MSR-VTT,video1044.mp4,0.025120673416529314
real,MSR-VTT,video1045.mp4,0.639421944902284
