subset,source_model,filename,global_score,patch_score,alpha,final_score
real,MSR-VTT,video0.mp4,0.2972833765010595,0.3526742458343506,0.6,0.31943972423437594
real,MSR-VTT,video1.mp4,0.2762096774193548,0.6037660241127014,0.6,0.40723221609669347
real,MSR-VTT,video10.mp4,0.7893660230751118,0.974609375,0.6,0.8634633638450671
real,MSR-VTT,video100.mp4,0.0041352719566753,0.1314102560281753,0.6,0.0550452655852753
real,MSR-VTT,video1000.mp4,0.1654697433482458,0.3987079262733459,0.6,0.2587650165182858
real,MSR-VTT,video1001.mp4,0.2645396750647515,0.4828725755214691,0.6,0.3518728352474385
real,MSR-VTT,video1002.mp4,0.5074022839651519,0.2280348539352417,0.6,0.39565531195318776
real,MSR-VTT,video1003.mp4,0.0605574523192842,0.3649939894676208,0.6,0.18233206717861883
real,MSR-VTT,video1004.mp4,0.2807422886743583,0.5956129431724548,0.6,0.4066905504735969
real,MSR-VTT,video1005.mp4,0.2189928184600894,0.2729967832565307,0.6,0.24059440437866592
real,MSR-VTT,video1006.mp4,0.1299740993642571,0.4659254550933838,0.6,0.2643546416559078
real,MSR-VTT,video1007.mp4,0.2206704732752531,0.8048878312110901,0.6,0.45435741644958794
real,MSR-VTT,video1008.mp4,0.4467271014834,0.6351261734962463,0.6,0.5220867302885386
real,MSR-VTT,video1009.mp4,0.1132711325641629,0.6419170498847961,0.6,0.3247294994924162
real,MSR-VTT,video101.mp4,0.31107252178008,0.8061398267745972,0.6,0.5090994437778869
real,MSR-VTT,video1010.mp4,0.4839739816340946,0.7018228769302368,0.6,0.5711135397525515
real,MSR-VTT,video1011.mp4,0.0603514245349658,0.1412359774112701,0.6,0.09270524568548752
real,MSR-VTT,video1012.mp4,0.3599452554744525,0.7356770634651184,0.6,0.5102379786707189
real,MSR-VTT,video1013.mp4,0.1922827878502472,0.5757010579109192,0.6,0.345650095874516
real,MSR-VTT,video1014.mp4,0.0127295738168118,0.1116185933351516,0.6,0.05228518162414773
real,MSR-VTT,video1015.mp4,0.4956439839886979,0.7221754789352417,0.6,0.5862565819673154
real,MSR-VTT,video1016.mp4,0.1688839180598069,0.0524138584733009,0.6,0.1222958942252045
real,MSR-VTT,video1017.mp4,0.2967094419590299,0.7563601732254028,0.6,0.48056973446557905
real,MSR-VTT,video1018.mp4,0.0509771603484812,0.3229467272758484,0.6,0.1597649871194281
real,MSR-VTT,video1019.mp4,0.5402342830233106,0.4981870949268341,0.6,0.52341540778472
real,MSR-VTT,video102.mp4,0.0690045914763362,0.1913161128759384,0.6,0.11792920003617707
real,MSR-VTT,video1020.mp4,0.8990758182246291,0.8932992815971375,0.6,0.8967652035736324
real,MSR-VTT,video1021.mp4,0.0224717447610077,0.2215344607830047,0.6,0.1020968311698065
real,MSR-VTT,video1022.mp4,0.0876795384977631,0.3568910360336303,0.6,0.19536413751211
real,MSR-VTT,video1023.mp4,0.0242376971980221,0.0874098539352417,0.6,0.04950655989290994
real,MSR-VTT,video1024.mp4,0.5722716034848128,0.8490083813667297,0.6,0.6829663146375795
real,MSR-VTT,video1025.mp4,0.4852101483400047,0.5412059426307678,0.6,0.5076084660563099
real,MSR-VTT,video1026.mp4,0.3655080056510478,0.5645332336425781,0.6,0.4451180968476599
real,MSR-VTT,video1027.mp4,0.0124352484106428,0.0520032048225402,0.6,0.02826243097540176
real,MSR-VTT,video1028.mp4,0.0056657640687544,0.2545572817325592,0.6,0.10522237113427632
real,MSR-VTT,video1029.mp4,0.1478102189781022,0.3013922274112701,0.6,0.20924302235136938
real,MSR-VTT,video103.mp4,0.3446403343536613,0.3695913255214691,0.6,0.35462073082078444
real,MSR-VTT,video1030.mp4,0.1908405933600188,0.4224759936332702,0.6,0.2834947534693194
real,MSR-VTT,video1031.mp4,0.0166441017188603,0.2355668991804123,0.6,0.1042132207034811
real,MSR-VTT,video1032.mp4,0.0039586767129738,0.0040865382179617,0.6,0.00400982131496896
real,MSR-VTT,video1033.mp4,0.202672474688015,0.6372796297073364,0.6,0.37651533669574355
real,MSR-VTT,video1034.mp4,0.1279138215210737,0.4822315573692322,0.6,0.2696409158603371
real,MSR-VTT,video1035.mp4,0.2404638568401224,0.058774035423994,0.6,0.16778792827367103
real,MSR-VTT,video1036.mp4,0.2005680480339063,0.7849458456039429,0.6,0.434319167061921
real,MSR-VTT,video1037.mp4,0.2889539675064752,0.3544871509075165,0.6,0.3151672408668917
real,MSR-VTT,video1038.mp4,0.1361549328938074,0.5830028057098389,0.6,0.31489408202021996
real,MSR-VTT,video1039.mp4,0.8013744996468095,0.197235569357872,0.6,0.5597189275312344
real,MSR-VTT,video104.mp4,0.1901342123852131,0.8731570243835449,0.6,0.46334333718454584
real,MSR-VTT,video1040.mp4,0.2718683776783612,0.4844651520252228,0.6,0.35690708741710586
real,MSR-VTT,video1041.mp4,0.2052183894513774,0.1258613765239715,0.6,0.17347558428041504
real,MSR-VTT,video1042.mp4,0.0693430656934306,0.6636418104171753,0.6,0.3070625635829285
real,MSR-VTT,video1043.mp4,0.0752737226277372,0.122055284678936,0.6,0.09398634744821671
real,MSR-VTT,video1044.mp4,0.0251206734165293,0.4995092153549194,0.6,0.21487609019188533
real,MSR-VTT,video1045.mp4,0.639421944902284,0.9421975016593932,0.6,0.7605321676051277
real,MSR-VTT,video1046.mp4,0.2775341417471156,0.4185296595096588,0.6,0.33393234885213285
real,MSR-VTT,video1047.mp4,0.3295120084765717,0.2153044790029525,0.6,0.283828996687124
real,MSR-VTT,video1048.mp4,0.2017600659288909,0.210136204957962,0.6,0.20511052154051934
real,MSR-VTT,video1049.mp4,0.6341093713209325,0.441877007484436,0.6,0.5572164257863339
real,MSR-VTT,video105.mp4,0.1412173298799152,0.3723958134651184,0.6,0.23368872331399648
real,MSR-VTT,video1050.mp4,0.1082970331999058,0.8811798691749573,0.6,0.41745016758992637
real,MSR-VTT,video1051.mp4,0.1601571697668943,0.1113080903887748,0.6,0.1406175380156465
real,MSR-VTT,video1052.mp4,0.0531993171650576,0.3138421177864074,0.6,0.15745643741359755
real,MSR-VTT,video1053.mp4,0.3771927242759595,0.6150540709495544,0.6,0.47233726294539746
real,MSR-VTT,video1055.mp4,0.1329467859665646,0.3818208873271942,0.6,0.23249642651081642
real,MSR-VTT,video1056.mp4,0.2151077230986579,0.8221554160118103,0.6,0.45792680026391885
real,MSR-VTT,video1057.mp4,0.8444195902990346,0.651902973651886,0.6,0.7674129436401751
real,MSR-VTT,video1058.mp4,0.1714739816340946,0.1985076069831848,0.6,0.1822874317737307
real,MSR-VTT,video1059.mp4,0.1149487873793265,0.0299379006028175,0.6,0.08094443266872291
real,MSR-VTT,video106.mp4,0.6051477513538969,0.2771534323692322,0.6,0.473950023760031
real,MSR-VTT,video1060.mp4,0.0179538497763126,0.069861777126789,0.6,0.03871702071650316
