subset,source_model,filename,final_score
real,MSVD,-4wsuPCjDBc_5_15.mp4,0.022648340004709205
real,MSVD,-7KMZQEsJW4_205_208.mp4,0.6189663291735342
real,MSVD,-8y1Q0rA3n8_108_115.mp4,0.7422739580880622
real,MSVD,-8y1Q0rA3n8_95_102.mp4,0.32469978808570754
real,MSVD,-AwoiGR6c8M_10_14.mp4,0.29457558276430423
real,MSVD,-Cv5LsqKUXc_17_25.mp4,0.5093301153755592
real,MSVD,-Cv5LsqKUXc_71_76.mp4,0.3528520131857782
real,MSVD,-DKuLXYoY3g_14_20.mp4,0.6242053214033436
real,MSVD,-DRy7rBg0IQ_31_37.mp4,0.2885860607487638
real,MSVD,-FugkxLmGO4_5_16.mp4,0.1889127619496115
real,MSVD,-Ms9tsWmhyU_80_95.mp4,0.2659671532846715
real,MSVD,-YI0cxuNcq8_262_272.mp4,0.7276459854014599
real,MSVD,-_aaMGK6GGw_57_61.mp4,0.45290793501295035
real,MSVD,-_hbPLsZvvo_172_179.mp4,0.4486843654344243
real,MSVD,-_hbPLsZvvo_18_25.mp4,0.26205262538262303
real,MSVD,-_hbPLsZvvo_19_25.mp4,0.23091299740993643
real,MSVD,-_hbPLsZvvo_19_26.mp4,0.23091299740993643
real,MSVD,-_hbPLsZvvo_211_219.mp4,0.4833411820108312
real,MSVD,-_hbPLsZvvo_269_275.mp4,0.38799446668236404
real,MSVD,-_hbPLsZvvo_288_305.mp4,0.16848657876147868
real,MSVD,-_hbPLsZvvo_49_55.mp4,0.12429361902519426
real,MSVD,-_hbPLsZvvo_5_8.mp4,0.10108606074876383
real,MSVD,-bjOB4zS0uE_100_105.mp4,0.40441782434659757
real,MSVD,-dm-ds5rRaM_44_52.mp4,0.38908347068518956
real,MSVD,-joBOHlg5J0_72_80.mp4,0.23313515422651282
real,MSVD,-mAoVOhKy0c_4_9.mp4,0.011596421003060985
real,MSVD,-pUwIypksfE_13_23.mp4,0.0037085001177301624
real,MSVD,-rkErLY0rRc_26_35.mp4,0.023060395573345892
real,MSVD,-rkErLY0rRc_63_67.mp4,0.345243701436308
real,MSVD,-rvjK0lE3z4_33_43.mp4,0.4200906522251001
real,MSVD,-s4-6QTT7HE_235_241.mp4,0.1062661878973393
real,MSVD,-t-ZWaJeH-o_0_15.mp4,0.47823463621379797
real,MSVD,-uT_1VDvXok_8_15.mp4,0.08310277843183422
real,MSVD,-vKO3uSG6Do_3_14.mp4,0.15549211207911467
real,MSVD,-vg3vR86fu0_1_6.mp4,0.4126295031787144
real,MSVD,-wa0umYJVGg_100_115.mp4,0.27147103838003295
real,MSVD,-wa0umYJVGg_117_123.mp4,0.4283906286790676
real,MSVD,-wa0umYJVGg_139_157.mp4,0.6083264657405227
real,MSVD,-wa0umYJVGg_168_176.mp4,0.3421091358606075
real,MSVD,-wa0umYJVGg_23_41.mp4,0.16804509065222512
real,MSVD,-wa0umYJVGg_286_290.mp4,0.30222804332469977
