subset,source_model,filename,fusion,global_weight,patch_spat_weight,patch_temp_weight,patch_temp_mode,match_radius,top_m,temperature,lambda_dist,patch_spat_percentile,patch_final_score,final_score,patch_temp_percentile
real,MSVD,-4wsuPCjDBc_5_15.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.08186101295641932,0.2057126030624264,0.2057126030624264,0.49469964664310956
real,MSVD,-7KMZQEsJW4_205_208.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.20906949352179033,0.21931684334511187,0.21931684334511187,0.24322732626619553
real,MSVD,-8y1Q0rA3n8_108_115.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6725559481743227,0.5729093050647821,0.5729093050647821,0.3404004711425206
real,MSVD,-8y1Q0rA3n8_95_102.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.8315665488810365,0.6013545347467608,0.6013545347467608,0.06419316843345112
real,MSVD,-AwoiGR6c8M_10_14.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.4122497055359246,0.48857479387514724,0.48857479387514724,0.6666666666666666
real,MSVD,-Cv5LsqKUXc_17_25.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.8963486454652533,0.8744405182567727,0.8744405182567727,0.823321554770318
real,MSVD,-Cv5LsqKUXc_71_76.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.696113074204947,0.7310954063604239,0.7310954063604239,0.8127208480565371
real,MSVD,-DKuLXYoY3g_14_20.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.7673733804475854,0.8025323910482921,0.8025323910482921,0.8845700824499411
real,MSVD,-DRy7rBg0IQ_31_37.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.25382803297997647,0.3467608951707891,0.3467608951707891,0.5636042402826855
real,MSVD,-FugkxLmGO4_5_16.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.027090694935217905,0.06578327444051826,0.06578327444051826,0.15606595995288575
real,MSVD,-Ms9tsWmhyU_80_95.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.24381625441696114,0.4242049469964664,0.4242049469964664,0.8451118963486455
real,MSVD,-YI0cxuNcq8_262_272.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.5506478209658422,0.49711425206124854,0.49711425206124854,0.37220259128386335
real,MSVD,-_aaMGK6GGw_57_61.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6030624263839811,0.6509422850412249,0.6509422850412249,0.7626619552414605
real,MSVD,-_hbPLsZvvo_172_179.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6949352179034158,0.6749705535924617,0.6749705535924617,0.6283863368669023
real,MSVD,-_hbPLsZvvo_18_25.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.8498233215547704,0.8743816254416961,0.8743816254416961,0.9316843345111896
real,MSVD,-_hbPLsZvvo_19_25.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.8804475853945819,0.8915783274440517,0.8915783274440517,0.917550058892815
real,MSVD,-_hbPLsZvvo_19_26.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.8804475853945819,0.8915783274440517,0.8915783274440517,0.917550058892815
real,MSVD,-_hbPLsZvvo_211_219.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.9104829210836278,0.8567726737338044,0.8567726737338044,0.7314487632508834
real,MSVD,-_hbPLsZvvo_269_275.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.508833922261484,0.5123674911660777,0.5123674911660777,0.5206124852767963
real,MSVD,-_hbPLsZvvo_288_305.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.3551236749116608,0.311660777385159,0.311660777385159,0.21024734982332155
real,MSVD,-_hbPLsZvvo_49_55.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.34393404004711425,0.32414605418138986,0.32414605418138986,0.2779740871613663
real,MSVD,-_hbPLsZvvo_5_8.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.03121319199057715,0.09587750294464074,0.09587750294464074,0.24676089517078917
real,MSVD,-bjOB4zS0uE_100_105.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.3292108362779741,0.47249705535924613,0.47249705535924613,0.806831566548881
real,MSVD,-dm-ds5rRaM_44_52.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6248527679623086,0.5322732626619552,0.5322732626619552,0.31625441696113077
real,MSVD,-joBOHlg5J0_72_80.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.1607773851590106,0.23215547703180212,0.23215547703180212,0.39870435806831567
real,MSVD,-mAoVOhKy0c_4_9.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.030624263839811542,0.02779740871613663,0.02779740871613663,0.02120141342756184
real,MSVD,-pUwIypksfE_13_23.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6254416961130742,0.4977031802120141,0.4977031802120141,0.19964664310954064
real,MSVD,-rkErLY0rRc_26_35.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.06654888103651355,0.047644287396937574,0.047644287396937574,0.0035335689045936395
real,MSVD,-rkErLY0rRc_63_67.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.4705535924617197,0.4232037691401649,0.4232037691401649,0.3127208480565371
real,MSVD,-rvjK0lE3z4_33_43.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.3934040047114252,0.425206124852768,0.425206124852768,0.4994110718492344
real,MSVD,-s4-6QTT7HE_235_241.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.7084805653710248,0.6098939929328622,0.6098939929328622,0.37985865724381623
real,MSVD,-t-ZWaJeH-o_0_15.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.35159010600706714,0.32279151943462897,0.32279151943462897,0.25559481743227325
real,MSVD,-uT_1VDvXok_8_15.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.46054181389870436,0.40471142520612485,0.40471142520612485,0.2744405182567727
real,MSVD,-vKO3uSG6Do_3_14.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6590106007067138,0.5206713780918728,0.5206713780918728,0.1978798586572438
real,MSVD,-vg3vR86fu0_1_6.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.7638398115429917,0.6906949352179034,0.6906949352179034,0.5200235571260307
real,MSVD,-wa0umYJVGg_100_115.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6266195524146054,0.5488810365135454,0.5488810365135454,0.3674911660777385
real,MSVD,-wa0umYJVGg_117_123.mp4,patch_only,,0.7,0.3,motion_soft,2,4,0.07,0.01,0.6472320376914017,0.6666666666666666,0.6666666666666666,0.7120141342756183
