dataset,subset,source_model,filename,condition,status,d3_raw,motion_raw,d3_time_raw,motion_time_raw,actual_dt_mean,actual_dt_std,d3_one_sided,d3_two_sided
comgenvid,real,MSVD,ejgwQqCHN1E_7_12.mp4,reference_pixels,ok,2.2536704540252686,4.344534397125244,83.21990864196889,34.17245426111751,0.12533333333333335,0.013597385369580814,0.785,0.42999999999999994
comgenvid,real,MSVD,pfQPRXcihkI_127_138.mp4,reference_pixels,ok,1.8235424757003784,6.528454303741455,89.23727606001124,51.47681180636088,0.12666666666666665,0.013333333333333284,0.72,0.56
comgenvid,real,MSVD,eb-Zp4pJLKk_2_19.mp4,reference_pixels,ok,0.8853850960731506,3.8593151569366455,54.882126108186476,30.85882597499422,0.12533333333333332,0.01359738536958047,0.285,0.57
comgenvid,real,MSVD,yOnRm3TP6hM_0_12.mp4,reference_pixels,ok,1.4627329111099243,6.233953952789307,96.45559105352206,49.5125158627828,0.12666666666666665,0.013333333333333284,0.635,0.73
comgenvid,real,MSVD,UXs3eq68ZjE_508_513.mp4,reference_pixels,ok,0.4790543019771576,0.9018484950065613,27.95467660723007,7.064742954460891,0.12679333333333334,0.013346666666666672,0.035,0.07
comgenvid,real,MSVD,ecVwxlXc1PQ_0_12.mp4,reference_pixels,ok,0.8498172760009766,3.3170835971832275,65.95999225527235,26.488837838172913,0.12666666666666665,0.013333333333333284,0.245,0.49
comgenvid,real,MSVD,gbW9f8xydks_0_10.mp4,reference_pixels,ok,0.9099741578102112,4.914437294006348,79.74416436317192,39.05897982915243,0.12666666666666665,0.013333333333333284,0.295,0.59
comgenvid,real,MSVD,eoP-SCgYM2w_49_60.mp4,reference_pixels,ok,0.8280906677246094,2.8185667991638184,58.089283941860074,22.566890736420948,0.12666666666666665,0.013333333333333284,0.24,0.48
comgenvid,real,MSVD,_o1UXSxTjfo_68_80.mp4,reference_pixels,ok,1.2715263366699219,5.4910478591918945,94.30833128426701,44.36346915033129,0.12533333333333335,0.013597385369580814,0.525,0.95
comgenvid,real,MSVD,Xp6rxW4hFFo_32_40.mp4,reference_pixels,ok,1.0049225091934204,2.7753076553344727,64.31247420822352,22.384127477308617,0.12456888888888888,0.01475529517842559,0.385,0.77
comgenvid,real,MSVD,XtQdAPV2UZs_4_11.mp4,reference_pixels,ok,1.1094715595245361,3.6859400272369385,118.95578746097462,29.3272603750229,0.12888888888888891,0.01662958838566203,0.445,0.89
comgenvid,real,MSVD,bruzcOyIGeg_4_12.mp4,reference_pixels,ok,4.262201309204102,5.522641181945801,257.69798741367424,42.40253567695619,0.12888888888888891,0.01662958838566203,0.895,0.20999999999999996
comgenvid,real,MSVD,fd7Ky1lEPT8_40_50.mp4,reference_pixels,ok,3.695155620574951,3.8507602214813232,218.26259600709474,30.525816112867115,0.12479108635097491,0.014781614664536698,0.875,0.25
comgenvid,real,MSVD,aN0WsBcja_E_0_15.mp4,reference_pixels,ok,0.818800151348114,4.9906325340271,52.403210577899564,39.92506370544434,0.125,0.0,0.235,0.47
comgenvid,real,MSVD,kEGmZDpZ_RE_248_293.mp4,reference_pixels,ok,0.48741447925567627,3.21174693107605,31.816673425710764,25.829882522424057,0.1253333333333335,0.013597385369582143,0.035,0.07
comgenvid,real,MSVD,lsanQj2yacs_102_108.mp4,reference_pixels,ok,1.3100814819335938,5.425454139709473,176.40747101805212,44.84958836050222,0.12456888888888888,0.01475529517842559,0.555,0.8899999999999999
comgenvid,real,MSVD,zHy7pM0U49w_103_109.mp4,reference_pixels,ok,0.7865845561027527,2.7723476886749268,44.22665654054025,22.29928307401472,0.12456888888888888,0.01475529517842559,0.215,0.43
comgenvid,real,MSVD,q6vz80UkVtw_0_7.mp4,reference_pixels,ok,1.0076960325241089,3.0806338787078857,72.17118173655726,25.09035105074878,0.12456888888888888,0.01475529517842559,0.385,0.77
comgenvid,real,MSVD,zulPFoY64wE_26_33.mp4,reference_pixels,ok,5.122657775878906,6.838990211486816,327.1953641218525,54.65726518964436,0.12512500000000001,3.861251827600697e-16,0.945,0.1100000000000001
comgenvid,real,MSVD,WTx-K045yQM_85_98.mp4,reference_pixels,ok,1.8728724718093872,3.3123085498809814,114.12872863514872,26.592953536519648,0.1245688888888889,0.008323108987023915,0.73,0.54
comgenvid,real,MSVD,wFPmKChNrhU_3_11.mp4,reference_pixels,ok,0.753735363483429,4.307523727416992,46.53965269956531,34.86413928694698,0.12456888888888888,0.01475529517842559,0.205,0.41
comgenvid,real,MSVD,jW77z3-SrO4_56_63.mp4,reference_pixels,ok,0.4958268105983734,4.054422378540039,62.451158425693535,33.05532620265172,0.12456888888888888,0.01475529517842559,0.045,0.09
comgenvid,real,MSVD,_9iG5Ge01PM_3_11.mp4,reference_pixels,ok,0.7750963568687439,1.8927041292190552,54.827332850675745,15.459512902630696,0.12266666666666669,0.009977753031396974,0.21,0.42
comgenvid,real,MSVD,kRNHJSc4AXE_220_228.mp4,reference_pixels,ok,4.2304582595825195,6.15073823928833,237.3462326260127,49.54214784834119,0.12266666666666669,0.009977753031396974,0.895,0.20999999999999996
comgenvid,real,MSVD,shPymuahrsc_5_12.mp4,reference_pixels,ok,0.7459948658943176,5.051082134246826,47.74367168558193,40.40865898132324,0.125,0.0,0.195,0.39
comgenvid,real,MSVD,fGc6_D0JEIQ_31_46.mp4,reference_pixels,ok,0.8534777164459229,3.930917978286743,73.33330190226336,32.02893985655559,0.12456888888888891,0.014755295178425408,0.255,0.51
comgenvid,real,MSVD,UXs3eq68ZjE_235_240.mp4,reference_pixels,ok,1.8164336681365967,6.502779483795166,113.73538051668777,51.80625696401377,0.12679333333333334,0.013346666666666672,0.715,0.5700000000000001
comgenvid,real,MSVD,yAD_TS5L2d4_4_11.mp4,reference_pixels,ok,1.588911533355713,5.124873161315918,127.90432064733056,40.1000633239746,0.12888888888888891,0.01662958838566203,0.67,0.6599999999999999
comgenvid,real,MSVD,VF1K_6ZSOAY_60_70.mp4,reference_pixels,ok,1.0463711023330688,5.200199604034424,112.2255590338186,41.78958525865664,0.12679333333333334,0.013346666666666672,0.42,0.84
