dataset,subset,source_model,filename,global_spatial,global_temporal_t1,global_stall,d3_raw,motion_raw,d3_time_raw,motion_time_raw,actual_dt_mean,actual_dt_std,d3_one_sided,d3_two_sided,d3_motion_conditional,motion_bin,d3_time_conditional,motion_time_bin,patch_spat_percentile,patch_temp_percentile,B0,B1,B2,B3,B4,B5,B6,B7,B8,G2_two_sided,G3_motion_conditional,G4_time_conditional
comgenvid,annotated,Sora,-ahmed-_776843120%2Fmd.mp4,0.01109606781257358,0.01289145279020485,0.011993760301389215,0.46179112792015076,3.3605339527130127,53.171808221142264,26.82837112744649,0.12666666666666665,0.013333333333333284,0.03,0.06,0.0,1,0.35,1,0.0294464081525802,0.002944640815258,0.01109606781257358,0.01289145279020485,0.011993760301389215,0.03,0.020996880150694605,0.0294464081525802,0.002944640815258,0.00559481754899022,0.009434183200429616,0.023770897103838003,0.008770897103838004,0.096270897103838
comgenvid,annotated,Sora,0065464654_4804233%2Fmd.mp4,0.020249587944431362,0.025105957146220863,0.022677772545326113,0.7307395935058594,2.0354223251342773,52.23421656938647,16.27179491519928,0.12666666666666665,0.013333333333333284,0.19,0.38,0.6499999999999999,0,0.7,0,0.1837455779314041,0.0082449940964579,0.020249587944431362,0.025105957146220863,0.022677772545326113,0.19,0.10633888627266305,0.1837455779314041,0.0082449940964579,0.02579505247995252,0.023924684519176675,0.1114012832587709,0.17890128325877086,0.19140128325877087
comgenvid,annotated,Sora,050221_138598904%2Fmd.mp4,0.001030138921591712,0.010536849540852366,0.005783494231222039,3.40952730178833,3.9651520252227783,200.60970198746682,31.270006895065308,0.12666666666666665,0.013333333333333284,0.845,0.31000000000000005,0.3500000000000001,2,0.3500000000000001,2,0.0017667844658717,0.0035335689317435,0.001030138921591712,0.010536849540852366,0.005783494231222039,0.845,0.425391747115611,0.0017667844658717,0.0035335689317435,0.00335689048515632,0.0048128527327957514,0.08064928184600896,0.09064928184600897,0.09064928184600897
comgenvid,annotated,Sora,09045_552603156%2Fmd.mp4,0.16182010831174948,0.2022604191193784,0.18204026371556392,0.7384535670280457,2.6310696601867676,50.0662240911252,20.863129953543346,0.12666666666666665,0.013333333333333284,0.195,0.39,0.6499999999999999,0,0.7,0,0.6042402982711792,0.2420494705438614,0.16182010831174948,0.2022604191193784,0.18204026371556392,0.195,0.18852013185778196,0.6042402982711792,0.2420494705438614,0.27826855331659317,0.22053157955597563,0.22897515893571935,0.29397515893571935,0.3064751589357193
comgenvid,annotated,Sora,111111111111_421748285%2Fmd.mp4,0.03228749705674594,0.021868377678361195,0.027077937367553567,0.8752754926681519,2.2179863452911377,65.4584161144175,17.780465404192608,0.12666666666666665,0.013333333333333284,0.285,0.57,0.5,0,0.3999999999999999,0,0.056537102907896,0.0270906947553157,0.03228749705674594,0.021868377678361195,0.027077937367553567,0.285,0.15603896868377676,0.056537102907896,0.0270906947553157,0.03003533557057373,0.028260896648761632,0.16411084294796324,0.14661084294796328,0.12161084294796325
comgenvid,annotated,Sora,1121231231231231_643574533%2Fmd.mp4,0.03720273133976925,0.16805980692253356,0.1026312691311514,0.6198839545249939,2.0790719985961914,38.88790210739457,16.571323215961456,0.12666666666666665,0.013333333333333284,0.115,0.23,1.0,0,0.65,0,0.4081272184848785,0.2090694904327392,0.03720273133976925,0.16805980692253356,0.1026312691311514,0.115,0.1088156345655757,0.4081272184848785,0.2090694904327392,0.22897526323795314,0.1531688667738721,0.118116317400518,0.310616317400518,0.22311631740051802
comgenvid,annotated,Sora,12345-90086_161537791%2Fmd.mp4,0.2671003060984224,0.25079467859665644,0.25894749234753944,1.1041368246078491,3.8683149814605713,81.6576703431736,30.906775673230488,0.12666666666666665,0.013333333333333284,0.445,0.89,0.8500000000000001,1,0.8999999999999999,1,0.5683156847953796,0.208480566740036,0.2671003060984224,0.25079467859665644,0.25894749234753944,0.445,0.35197374617376975,0.5683156847953796,0.208480566740036,0.24446407854557037,0.2531541268267518,0.4187488226983753,0.4087488226983753,0.42124882269837527
comgenvid,annotated,Sora,12348822_520388045%2Fmd.mp4,0.004032258064516129,0.0036790675771132563,0.0038556628208146924,0.4336538016796112,1.8618494272232056,27.17320032731684,14.81512306133906,0.12666666666666665,0.013333333333333284,0.025,0.05,0.25,0,0.15,0,0.09481742978096,0.0100117782130837,0.004032258064516129,0.0036790675771132563,0.0038556628208146924,0.025,0.014427831410407347,0.09481742978096,0.0100117782130837,0.018492343369871333,0.009710335040437348,0.015435895926536379,0.06543589592653638,0.040435895926536375
comgenvid,annotated,Sora,1235311_468903194%2Fmd.mp4,0.0010890040028255239,0.007681893101012479,0.004385448551919002,0.4907892942428589,2.0900070667266846,33.49675377022152,16.59115691979726,0.12666666666666665,0.013333333333333284,0.04,0.08,0.4,0,0.5,0,0.1866902261972427,0.0412249714136123,0.0010890040028255239,0.007681893101012479,0.004385448551919002,0.04,0.022192724275959502,0.1866902261972427,0.0412249714136123,0.055771496891975345,0.02493986788794154,0.022464975276665883,0.10246497527666588,0.1274649752766659
comgenvid,annotated,Sora,1554545_990274538%2Fmd.mp4,0.0018836825994819873,0.002943254061690605,0.0024134683305862964,0.2075917273759842,0.4061310887336731,13.669034475791742,3.2245164016882573,0.12666666666666665,0.013333333333333284,0.0,0.0,0.0,0,0.0,0,0.1289752721786499,0.0400471128523349,0.0018836825994819873,0.002943254061690605,0.0024134683305862964,0.0,0.0012067341652931482,0.1289752721786499,0.0400471128523349,0.0489399287849664,0.021024052512338336,0.001677654815163645,0.001677654815163645,0.001677654815163645
comgenvid,annotated,Sora,1656511_927926754%2Fmd.mp4,2.943254061690605e-05,0.016246762420532142,0.008138097480574523,0.6669703722000122,2.0905604362487793,31.67461940412757,16.520958145459492,0.12666666666666665,0.013333333333333284,0.15,0.3,0.8500000000000001,0,0.3,0,0.0559481754899024,0.0035335689317435,2.943254061690605e-05,0.016246762420532142,0.008138097480574523,0.15,0.07906904874028726,0.0559481754899024,0.0035335689317435,0.00877502958755939,0.008392870323368471,0.07907640687544149,0.21657640687544152,0.07907640687544149
comgenvid,annotated,Sora,1tree2_75260605%2Fmd.mp4,0.01633506004238286,0.022103838003296444,0.019219449022839653,0.9655716419219971,3.413602352142334,64.4475445465062,27.33885782957077,0.12666666666666665,0.013333333333333284,0.345,0.69,0.95,1,0.7,1,0.0153121314942836,0.0005889281746931,0.01633506004238286,0.022103838003296444,0.019219449022839653,0.345,0.18210972451141982,0.0153121314942836,0.0005889281746931,0.0020612485066521503,0.012356168816364652,0.18619348952201553,0.25119348952201553,0.18869348952201553
comgenvid,annotated,Sora,2111132_923581868%2Fmd.mp4,0.005091829526724747,0.016246762420532142,0.010669295973628444,0.5959368348121643,1.8523852825164795,35.90088858501602,14.66394809881846,0.12666666666666665,0.013333333333333284,0.095,0.19,0.8,0,0.5,0,0.1171967014670372,0.0041224970482289,0.005091829526724747,0.016246762420532142,0.010669295973628444,0.095,0.052834647986814226,0.1171967014670372,0.0041224970482289,0.01542991749010973,0.012573544580220959,0.05410760536849541,0.20660760536849543,0.13160760536849542
comgenvid,annotated,Sora,22225591_159614590%2Fmd.mp4,0.024193548387096774,0.04738639039321874,0.03578996939015776,1.0170027017593384,2.8188204765319824,62.63608607559509,22.359759549299877,0.12666666666666665,0.013333333333333284,0.405,0.81,0.3500000000000001,0,0.3999999999999999,0,0.1872791498899459,0.0901060104370117,0.024193548387096774,0.04738639039321874,0.03578996939015776,0.405,0.2203949846950789,0.1872791498899459,0.0901060104370117,0.09982332438230512,0.061403311387016705,0.2264433717918531,0.1114433717918531,0.12394337179185305
comgenvid,annotated,Sora,22322777_980901699%2Fmd.mp4,0.007946785966564633,0.007358135154226513,0.0076524605603955735,0.45720720291137695,2.167950391769409,33.66211185063547,17.228791892528534,0.12666666666666665,0.013333333333333284,0.03,0.06,0.3,0,0.5,0,0.0765606611967086,0.0371024720370769,0.007946785966564633,0.007358135154226513,0.0076524605603955735,0.03,0.018826230280197788,0.0765606611967086,0.0371024720370769,0.04104829095304007,0.021010792717453375,0.020812926771838942,0.08081292677183895,0.13081292677183895
comgenvid,annotated,Sora,23234111213123123123_474219769%2Fmd.mp4,0.0,0.05024134683305863,0.025120673416529314,0.9964062571525574,4.613090515136719,113.66921420010299,36.8046763241291,0.12666666666666665,0.013333333333333284,0.375,0.75,0.5,2,0.8,2,0.0035335689317435,0.0005889281746931,0.0,0.05024134683305863,0.025120673416529314,0.375,0.20006033670826465,0.0035335689317435,0.0005889281746931,0.00088339225039814,0.015425760950076844,0.20006033670826465,0.13756033670826465,0.21256033670826466
comgenvid,annotated,Sora,23446k_310435470%2Fmd.mp4,0.006887214504356016,0.15307864374852836,0.07998292912644218,0.6338368058204651,3.9818434715270996,45.50114852051348,31.60537588596344,0.12666666666666665,0.013333333333333284,0.13,0.26,0.1,2,0.0,2,0.0376914031803607,0.0371024720370769,0.006887214504356016,0.15307864374852836,0.07998292912644218,0.13,0.10499146456322109,0.0376914031803607,0.0371024720370769,0.03716136515140528,0.06285430353642742,0.1067132681893101,0.0667132681893101,0.0417132681893101
comgenvid,annotated,Sora,247axel_879229487%2Fmd.mp4,0.136596421003061,0.042765481516364494,0.08968095125971275,0.7997645139694214,2.8266913890838623,44.585229564635824,22.447797397772472,0.12666666666666665,0.013333333333333284,0.22,0.44,0.6499999999999999,0,1.0,0,0.2926972806453705,0.1590106040239334,0.136596421003061,0.042765481516364494,0.08968095125971275,0.22,0.15484047562985637,0.2926972806453705,0.1590106040239334,0.17237927168607714,0.1227602794302585,0.18898958088062162,0.2414895808806216,0.32898958088062163
comgenvid,annotated,Sora,2592108_968226828%2Fmd.mp4,0.38409465505062396,0.15154815163644925,0.2678214033435366,0.6061602830886841,2.8073720932006836,38.11804794578682,22.333948413530987,0.12666666666666665,0.013333333333333284,0.105,0.21,0.9,0,0.65,0,0.7108362913131714,0.3739693760871887,0.38409465505062396,0.15154815163644925,0.2678214033435366,0.105,0.1864107016717683,0.7108362913131714,0.3739693760871887,0.407656067609787,0.3237552690500368,0.2824343654344243,0.45493436543442434,0.39243436543442434
comgenvid,annotated,Sora,2kota_345048458%2Fmd.mp4,0.022103838003296444,0.06878384742170944,0.045443842712502944,0.4415954053401947,3.3118536472320557,53.52389242648855,26.513275980949402,0.12666666666666665,0.013333333333333284,0.025,0.05,0.0,1,0.35,1,0.2361601889133453,0.008833922445774,0.022103838003296444,0.06878384742170944,0.045443842712502944,0.025,0.035221921356251476,0.2361601889133453,0.008833922445774,0.031566549092531135,0.039892925264514226,0.04074788085707558,0.02824788085707558,0.11574788085707557
comgenvid,annotated,Sora,2mas_968402667%2Fmd.mp4,0.0739639745702849,0.28764421944902285,0.18080409700965389,1.2215253114700317,5.505216121673584,58.84071510951612,43.571722745895386,0.12666666666666665,0.013333333333333284,0.5,1.0,0.9,3,0.1,3,0.5117785334587097,0.2567726671695709,0.0739639745702849,0.28764421944902285,0.18080409700965389,0.5,0.3404020485048269,0.5117785334587097,0.2567726671695709,0.28227325379848484,0.22139175972518627,0.35889304214739814,0.3338930421473982,0.13389304214739817
comgenvid,annotated,Sora,331212222122_15392619%2Fmd.mp4,0.005268424770426183,0.0025311984930539203,0.0038998116317400513,0.3193596601486206,1.0848861932754517,23.200706868824728,8.597031076749166,0.12666666666666665,0.013333333333333284,0.015,0.03,0.15,0,0.05,0,0.1607773900032043,0.005889281630516,0.005268424770426183,0.0025311984930539203,0.0038998116317400513,0.015,0.009449905815870026,0.1607773900032043,0.005889281630516,0.02137809246778483,0.010891123966157963,0.010767012008476571,0.04076701200847657,0.01576701200847657
comgenvid,annotated,Sora,35h_783477259%2Fmd.mp4,0.2519131151400989,0.5402342830233106,0.39607369908170476,1.1849910020828247,4.9437150955200195,104.32343777659834,39.39173706372579,0.12666666666666665,0.013333333333333284,0.495,0.99,0.9,3,0.8,3,0.409305065870285,0.3792697191238403,0.2519131151400989,0.5402342830233106,0.39607369908170476,0.495,0.4455368495408524,0.409305065870285,0.3792697191238403,0.38227325379848476,0.3905535209684168,0.5085151283258771,0.4860151283258771,0.4610151283258771
comgenvid,annotated,Sora,360video_921703662%2Fmd.mp4,0.008976924888156346,0.014068754414881092,0.01152283965151872,0.4079118072986603,1.292665719985962,18.830274278891455,10.183081865310669,0.12666666666666665,0.013333333333333284,0.02,0.04,0.2,0,0.0,0,0.0512367486953735,0.002944640815258,0.008976924888156346,0.014068754414881092,0.01152283965151872,0.02,0.01576141982575936,0.0512367486953735,0.002944640815258,0.007773851603269551,0.010023244432219053,0.018005651047798447,0.05800565104779845,0.008005651047798447
comgenvid,annotated,Sora,3769_109597890%2Fmd.mp4,0.012126206734165293,0.21809512597127384,0.11511066635271956,0.33257341384887695,3.152991533279419,50.37657855990465,25.245473623275753,0.12666666666666665,0.013333333333333284,0.015,0.03,0.0,1,0.25,1,0.0329799763858318,0.0382803305983543,0.012126206734165293,0.21809512597127384,0.11511066635271956,0.015,0.06505533317635978,0.0329799763858318,0.0382803305983543,0.037750295177102045,0.08416651788247255,0.06808688485990111,0.06058688485990111,0.1230868848599011
comgenvid,annotated,Sora,3dq_200412742%2Fmd.mp4,0.006769484341888392,0.07081469272427596,0.03879208853308218,0.23135045170783997,1.7249661684036255,21.6125244127024,13.748674790064493,0.12666666666666665,0.013333333333333284,0.0,0.0,0.0,0,0.0,0,0.138987049460411,0.0353356897830963,0.006769484341888392,0.07081469272427596,0.03879208853308218,0.0,0.01939604426654109,0.138987049460411,0.0353356897830963,0.04570082575082777,0.04155558342018041,0.021088415352013185,0.021088415352013185,0.021088415352013185
