video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,dataset,split,video_id,legacy_video_id,legacy_path,source_group,real_source,generator,content_sha256,exclusion_reason,full_downsample_idxs,original_video_id,evaluation_duration
datasets/genvideo/fake/HotShot/hotshot_1.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_1.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_1.mp4,datasets/genvideo/fake/HotShot/hotshot_1.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_1.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_1.mp4,1
datasets/genvideo/fake/HotShot/hotshot_10.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_10.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_10.mp4,datasets/genvideo/fake/HotShot/hotshot_10.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_10.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_10.mp4,1
datasets/genvideo/fake/HotShot/hotshot_100.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_100.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_100.mp4,datasets/genvideo/fake/HotShot/hotshot_100.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_100.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_100.mp4,1
datasets/genvideo/fake/HotShot/hotshot_101.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_101.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_101.mp4,datasets/genvideo/fake/HotShot/hotshot_101.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_101.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_101.mp4,1
datasets/genvideo/fake/HotShot/hotshot_102.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_102.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_102.mp4,datasets/genvideo/fake/HotShot/hotshot_102.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_102.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_102.mp4,1
datasets/genvideo/fake/HotShot/hotshot_103.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_103.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_103.mp4,datasets/genvideo/fake/HotShot/hotshot_103.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_103.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_103.mp4,1
datasets/genvideo/fake/HotShot/hotshot_104.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_104.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_104.mp4,datasets/genvideo/fake/HotShot/hotshot_104.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_104.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_104.mp4,1
datasets/genvideo/fake/HotShot/hotshot_105.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_105.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_105.mp4,datasets/genvideo/fake/HotShot/hotshot_105.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_105.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_105.mp4,1
datasets/genvideo/fake/HotShot/hotshot_106.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_106.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_106.mp4,datasets/genvideo/fake/HotShot/hotshot_106.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_106.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_106.mp4,1
datasets/genvideo/fake/HotShot/hotshot_107.mp4,annotated,HotShot,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,genvideo,evaluation,genvideo:datasets/genvideo/fake/HotShot/hotshot_107.mp4:duration1,genvideo:datasets/genvideo/fake/HotShot/hotshot_107.mp4,datasets/genvideo/fake/HotShot/hotshot_107.mp4,genvideo:datasets/genvideo/fake/HotShot/hotshot_107.mp4,,HotShot,,,"[0, 1, 2, 3, 4, 5, 6, 7]",genvideo:datasets/genvideo/fake/HotShot/hotshot_107.mp4,1
