video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,dataset,split,video_id,legacy_video_id,legacy_path,source_group,real_source,generator,content_sha256,exclusion_reason,full_downsample_idxs,original_video_id,evaluation_duration,dynamic_degree
datasets/videofeedback/real/Panda70M/p105930.mp4,real,Panda70M,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/Panda70M/p105930.mp4:duration1,videofeedback:datasets/videofeedback/real/Panda70M/p105930.mp4,datasets/videofeedback/real/Panda70M/p105930.mp4,videofeedback:real-content:p105930,Panda70M,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/Panda70M/p105930.mp4,1,
datasets/videofeedback/real/DiDeMo/p008015.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p008015.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p008015.mp4,datasets/videofeedback/real/DiDeMo/p008015.mp4,videofeedback:real-content:p008015,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p008015.mp4,1,
datasets/videofeedback/real/DiDeMo/p002157.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p002157.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p002157.mp4,datasets/videofeedback/real/DiDeMo/p002157.mp4,videofeedback:real-content:p002157,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p002157.mp4,1,
datasets/videofeedback/real/DiDeMo/p003819.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p003819.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p003819.mp4,datasets/videofeedback/real/DiDeMo/p003819.mp4,videofeedback:real-content:p003819,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p003819.mp4,1,
datasets/videofeedback/real/DiDeMo/p004021.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p004021.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p004021.mp4,datasets/videofeedback/real/DiDeMo/p004021.mp4,videofeedback:real-content:p004021,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p004021.mp4,1,
datasets/videofeedback/real/Panda70M/p111897.mp4,real,Panda70M,8.0,2.0,16,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/Panda70M/p111897.mp4:duration1,videofeedback:datasets/videofeedback/real/Panda70M/p111897.mp4,datasets/videofeedback/real/Panda70M/p111897.mp4,videofeedback:real-content:p111897,Panda70M,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",videofeedback:datasets/videofeedback/real/Panda70M/p111897.mp4,1,
datasets/videofeedback/real/DiDeMo/p004308.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p004308.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p004308.mp4,datasets/videofeedback/real/DiDeMo/p004308.mp4,videofeedback:real-content:p004308,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p004308.mp4,1,
datasets/videofeedback/real/DiDeMo/p002166.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p002166.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p002166.mp4,datasets/videofeedback/real/DiDeMo/p002166.mp4,videofeedback:real-content:p002166,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p002166.mp4,1,
datasets/videofeedback/real/DiDeMo/p006682.mp4,real,DiDeMo,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/DiDeMo/p006682.mp4:duration1,videofeedback:datasets/videofeedback/real/DiDeMo/p006682.mp4,datasets/videofeedback/real/DiDeMo/p006682.mp4,videofeedback:real-content:p006682,DiDeMo,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/DiDeMo/p006682.mp4,1,
datasets/videofeedback/real/Panda70M/p110947.mp4,real,Panda70M,8.0,3.0,24,"[6, 7, 8, 9, 10, 11, 12, 13]","[6, 7, 8, 9, 10, 11, 12, 13]",,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,evaluation,videofeedback:datasets/videofeedback/real/Panda70M/p110947.mp4:duration1,videofeedback:datasets/videofeedback/real/Panda70M/p110947.mp4,datasets/videofeedback/real/Panda70M/p110947.mp4,videofeedback:real-content:p110947,Panda70M,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",videofeedback:datasets/videofeedback/real/Panda70M/p110947.mp4,1,
