subset,source_model,filename,fusion,global_weight,patch_spat_weight,patch_temp_weight,patch_temp_mode,match_radius,top_m,temperature,lambda_dist,aggregation,bottomk_ratio,temporal_run_length,patch_region_size,patch_spat_percentile,patch_temp_percentile,patch_final_score,final_score
real,MSR-VTT,video0.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.48707932233810425,0.3819110691547394,0.39242789149284363,0.39242789149284363
real,MSR-VTT,video1.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.7646234035491943,0.42628204822540283,0.4601161777973175,0.4601161777973175
real,MSR-VTT,video10.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.7169471383094788,0.9786658883094788,0.9524939656257629,0.9524939656257629
real,MSR-VTT,video100.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.0011017628712579608,0.07441907376050949,0.0670873373746872,0.0670873373746872
real,MSR-VTT,video1000.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.1391225904226303,0.32231569290161133,0.30399638414382935,0.30399638414382935
real,MSR-VTT,video1001.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.33383414149284363,0.4798677861690521,0.4652644097805023,0.4652644097805023
real,MSR-VTT,video1002.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.44611379504203796,0.28725960850715637,0.30314502120018005,0.30314502120018005
real,MSR-VTT,video1003.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.3050881326198578,0.47556090354919434,0.45851361751556396,0.45851361751556396
real,MSR-VTT,video1004.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.6438301205635071,0.3721955120563507,0.39935898780822754,0.39935898780822754
real,MSR-VTT,video1005.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.14533253014087677,0.22596153616905212,0.2178986370563507,0.2178986370563507
real,MSR-VTT,video1006.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.957932710647583,0.4642427861690521,0.5136117935180664,0.5136117935180664
real,MSR-VTT,video1007.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.717848539352417,0.7580128312110901,0.7539963722229004,0.7539963722229004
real,MSR-VTT,video1008.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.5114182829856873,0.6869992017745972,0.6694411039352417,0.6694411039352417
real,MSR-VTT,video1009.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.8292267918586731,0.5997596383094788,0.6227063536643982,0.6227063536643982
real,MSR-VTT,video101.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.9055488705635071,0.8410456776618958,0.847495973110199,0.847495973110199
real,MSR-VTT,video1010.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.9823718070983887,0.8505609035491943,0.8637419939041138,0.8637419939041138
real,MSR-VTT,video1011.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.43960335850715637,0.17307692766189575,0.1997295618057251,0.1997295618057251
real,MSR-VTT,video1012.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.6477363705635071,0.7177484035491943,0.7107471823692322,0.7107471823692322
real,MSR-VTT,video1013.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.48447516560554504,0.7577123641967773,0.7303886413574219,0.7303886413574219
real,MSR-VTT,video1014.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,bottomk_mean,0.2,3,2,0.8597756624221802,0.07421875,0.15277443826198578,0.15277443826198578
