video_id,dataset,protocol_split,subset,source_model,filename,video_path,duration_seconds,effective_k,window_count,G_raw,L_raw,G,L,S
00053b90e4d290bdd7569ceec0792ba8be2def3ee802e95acc7e74c2d56551d0,videofeedback,evaluation,annotated,ModelScope,3002753.mp4,STALL/datasets/videofeedback/fake/ModelScope/3002753.mp4,2.0,1,1,0.01590828820343772,0.045000000000000005,0.075,0.02,0.053
002fa1cdd05d0fa7829d8df5a7e55453ab5210900856af4cc57ed7a5c0b6c0ea,videofeedback,evaluation,annotated,VideoCrafter2,2001828.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2001828.mp4,2.0,1,1,0.009212385213091595,0.03150000000000001,0.025,0.005,0.017
004094f065b45deef75751528720be162904f7357586e59c79e6e2530798d04d,videofeedback,evaluation,annotated,ModelScope,3004242.mp4,STALL/datasets/videofeedback/fake/ModelScope/3004242.mp4,2.0,1,1,0.06709147633623734,0.0,0.295,0.0,0.177
00453d226b46ea7759908f0bce9d513e11239374fcbcecb988c1765bca7f0b60,videofeedback,evaluation,annotated,LaVie-base,4001447.mp4,STALL/datasets/videofeedback/fake/LaVie-base/4001447.mp4,2.0,1,1,0.23806510477984458,0.009000000000000001,0.58,0.0,0.348
004c00c2ebd1dd7cf100d70a91189131370cd0eba47d987d3bd5a63a66cb6033,videofeedback,evaluation,annotated,AnimateDiff,5001071.mp4,STALL/datasets/videofeedback/fake/AnimateDiff/5001071.mp4,2.0,1,1,0.010831174947021427,0.07200000000000001,0.045,0.045,0.045
007a8fdf1c4b6e0d73ad051387c09782429445bbc48d3c479d1a34f5c3141dc5,videofeedback,evaluation,annotated,LaVie-base,4000592.mp4,STALL/datasets/videofeedback/fake/LaVie-base/4000592.mp4,2.0,1,1,0.10207205085943018,0.2025,0.37,0.175,0.292
0085d2854aa70b5cfd5bd6bf4893f56d4ba256a3394cf80cdfb2893d93b2a688,videofeedback,evaluation,annotated,Text2Video-Zero,1000834.mp4,STALL/datasets/videofeedback/fake/Text2Video-Zero/1000834.mp4,2.0,1,1,0.020117141511655286,0.2705,0.11,0.25,0.166
008b0d244f2eabda012cfce8019f376b41f97a064a0d4dfc1b513516c44e27e7,videofeedback,evaluation,annotated,VideoCrafter2,2000183.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2000183.mp4,2.0,1,1,0.008329408994584411,0.018000000000000002,0.02,0.005,0.014
0094c930c22536fb164410eadbae00650648ca9550a4386cf4132c330491b0c3,videofeedback,evaluation,annotated,ModelScope,3005996.mp4,STALL/datasets/videofeedback/fake/ModelScope/3005996.mp4,2.0,1,1,0.008800329644454909,0.0,0.02,0.0,0.012
009bfc607d120deb5a2a69338528ac989bc582e25a907731ffd1efaf3b92b318,videofeedback,evaluation,annotated,AnimateDiff,5000550.mp4,STALL/datasets/videofeedback/fake/AnimateDiff/5000550.mp4,2.0,1,1,0.04475217800800565,0.009000000000000001,0.225,0.0,0.135
00a75c591f9aa553fc9ddd28789532b3400ced78b3e5d7b89ab647d27bf1687d,videofeedback,evaluation,real,Panda70M,p103960.mp4,STALL/datasets/videofeedback/real/Panda70M/p103960.mp4,2.0,1,1,0.2718978102189781,0.29700000000000004,0.63,0.285,0.492
00d7710a464e04e4f754d245df9e9c09cf0ceaa1d8c8efd76eef12a3430603ea,videofeedback,evaluation,annotated,VideoCrafter2,2000137.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2000137.mp4,2.0,1,1,0.005577466446903697,0.018000000000000002,0.005,0.005,0.005
011ce170d2fea25bf556fdd45a86d4233a972b52f702cf40b2815bcf1f9bf478,videofeedback,evaluation,annotated,LVDM,6001303.mp4,STALL/datasets/videofeedback/fake/LVDM/6001303.mp4,2.0,1,1,0.05152166234989404,0.009000000000000001,0.235,0.0,0.141
013e4d7402106be344bba0e5c27e48bf8203fabb43252307f41fe806123dc9c5,videofeedback,evaluation,annotated,VideoCrafter2,2000478.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2000478.mp4,2.0,1,1,0.0021780080056510477,0.0,0.0,0.0,0.0
015f813dd9238ab397005d07b1c0fcc3332222bdd89d0a428fb5220fc108851e,videofeedback,evaluation,annotated,AnimateDiff,5000837.mp4,STALL/datasets/videofeedback/fake/AnimateDiff/5000837.mp4,2.0,1,1,0.04954968212856134,0.24850000000000003,0.23,0.24,0.234
017c493a24b6ca5b2a3b700becc9a43df710525bc8f922fa8164793929addfaa,videofeedback,evaluation,annotated,LVDM,6000451.mp4,STALL/datasets/videofeedback/fake/LVDM/6000451.mp4,2.0,1,1,0.004915234283023311,0.0,0.005,0.0,0.003
0190de3507f9e701b3766e09fa27b3241afd26d3b75d9adf9bb80fb9ba2f6f51,videofeedback,evaluation,annotated,AnimateDiff,5001789.mp4,STALL/datasets/videofeedback/fake/AnimateDiff/5001789.mp4,2.0,1,1,0.06770955968919237,0.0135,0.3,0.0,0.18
01ce5d50291665545e4869f449b8a0dca8973cf49cf49858ea665c06b7d8b42a,videofeedback,evaluation,annotated,ModelScope,3004534.mp4,STALL/datasets/videofeedback/fake/ModelScope/3004534.mp4,2.0,1,1,0.057349305392041444,0.0135,0.26,0.0,0.156
01f2cbd558728989a54f904ba3f9d420cdfff52444f55de25908b9b9712a77b8,videofeedback,evaluation,annotated,LaVie-base,4000355.mp4,STALL/datasets/videofeedback/fake/LaVie-base/4000355.mp4,2.0,1,1,0.020411466917824347,0.3105,0.11,0.305,0.188
01fc55239058c1049909d2afb6eb1434ab993b1449242ee14fafd77618b4db54,videofeedback,evaluation,annotated,VideoCrafter2,2004928.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2004928.mp4,2.0,1,1,0.005047680715799387,0.0155,0.005,0.005,0.005
0207405d77c00581c5e5e70793a13b37780a63c4aa89698b1be3d7f63e5d3883,videofeedback,evaluation,annotated,VideoCrafter2,2002784.mp4,STALL/datasets/videofeedback/fake/VideoCrafter2/2002784.mp4,2.0,1,1,0.006681186720037674,0.001,0.01,0.0,0.006
020eac527e9d4546821e9a5b33f4d20d5c4783b8dcc4e54cbad7588cff014144,videofeedback,evaluation,annotated,AnimateDiff,5000229.mp4,STALL/datasets/videofeedback/fake/AnimateDiff/5000229.mp4,2.0,1,1,0.018056863668471864,0.0135,0.09,0.0,0.054
