dataset,seed,calibration_size,video_id
comgenvid,17,25,07ec76e6b7fe5ea5d65067ade4838038725de2af11aff4ce1ed013cde513b704
comgenvid,17,25,0b0e8731eff24aa57c8148bd8413bf659ac5d158fe9b46e6cffad07b76d33365
comgenvid,17,25,24c2bd4008bdd22017a64936d408275ccbe13f3f4751cbfe442f62fad0e3a33d
comgenvid,17,25,2f68665f7e59b640ee0ed16ea0fc498ee2ba9fad7f82d4e348821c012785b0f0
comgenvid,17,25,400c1214874a1d0970d6edabf054d0f2b8162a3712931f3809097b91efc3cedb
comgenvid,17,25,4c1bb441dabbba63e049829afa3790767b0c285009c555d3cafe7c7c5bed5128
comgenvid,17,25,4f65a161f10769d8bc17c2dfc453f79adbc5a45a0cd2b4ed1c55dd36d55e304b
comgenvid,17,25,4fab969efb35c6be95a51bc128ce7006726badc2c9aa5e52cc632d94f886bcd6
comgenvid,17,25,50d8530374265e93e6a439d1db967e998911ab1b41ab8a7b83a60f6a2f5e185c
comgenvid,17,25,54a0c350aa96c6f1768e2f42ab15918a88b2acb80ffc2e12fec73f0454b3debc
comgenvid,17,25,6e9b4dbf62ef5172c1f930a7306692adaf13964d6e99c531d98fc56a979ca223
comgenvid,17,25,7c9835bf51c1986ea02c298d85b61b0ab6ed469cf3183b2b1b636deff6c6e20e
comgenvid,17,25,95fba8cd91509de284746cc1206c3155f1b142724a8bceb804793d629b915569
comgenvid,17,25,b5b7ff582d512704cb36959eac1f59b682afff1e5b6edb0ba8efe395e7fb06d7
comgenvid,17,25,c67671c7d69dc564bfe167e411b55dd82b25fe75a7884ec99df85b2a1508aed5
comgenvid,17,25,d01f0c1898592f15311750fb3d9a6482b39ef171cb71ee259581ba76cafa23cb
comgenvid,17,25,d2672b43846bb726a5dd40cf81a1e04706d4301c0ff7c9fdaac944117e5ab4ff
comgenvid,17,25,d39a3c01a09f34ac4e1b6dde2a654668958d8d09ccbe72c49f7cccd3f6cb1ffe
comgenvid,17,25,da767d11447a713669b3f82751c5cd355469f5a4045a0b84a22596cd8fc3c4ee
comgenvid,17,25,de12bf0f74852304f3c9c3d7c0975ec513b567f0f8c67dd885b42a216198c520
comgenvid,17,25,e13183acb205f7507e0368aab8295b3c3fb36f74ca61309c936c96f77935ac62
comgenvid,17,25,e66ffa12a667ca94dc87f63cf7b39d325ea22c2213ebd35696e6cf7af9b7ea32
comgenvid,17,25,f879c241df3c9b47cb8e9ca6b65fc1efe0b47e158aca3dc59c54fbee89a18963
comgenvid,17,25,fbf89aa89d8baaeca7d5fd8dbe6c6d56329190a394c78cca4e88e252613b7f1a
comgenvid,17,25,fcd6c82ac3589840fe2f740997124657d6c55ea1011a3b0c596213f057f9b487
comgenvid,17,50,05d394375c8901240484cf02a874d3b4188988795e4f3ab92156808671bafbf7
comgenvid,17,50,07ec76e6b7fe5ea5d65067ade4838038725de2af11aff4ce1ed013cde513b704
comgenvid,17,50,0b0e8731eff24aa57c8148bd8413bf659ac5d158fe9b46e6cffad07b76d33365
comgenvid,17,50,0e49b6656fdab7d285619b2256c20343ba9e43e0188353432d6595c88b2bc4fd
comgenvid,17,50,18aebee80c501db95fe5f3ec387b90c3d003f36d41b04d69da753ec7093a1833
comgenvid,17,50,24c2bd4008bdd22017a64936d408275ccbe13f3f4751cbfe442f62fad0e3a33d
comgenvid,17,50,2a5b361c1e780a72977569489369b5769018e5a25d8e97ad2655b33993ddfba6
comgenvid,17,50,2f68665f7e59b640ee0ed16ea0fc498ee2ba9fad7f82d4e348821c012785b0f0
comgenvid,17,50,338de4f0a9884d86d4169d598c953ff77b55b5a54daa4e5c8e8ddb690f741c63
comgenvid,17,50,377515958f735b40ce64411cafa1fe7e7193785569dc573acb03d97ad978a3a8
comgenvid,17,50,397060c783a8063537f37d5a7e0c9052c76f40a3cf5e56039152af16cfe73af0
comgenvid,17,50,400c1214874a1d0970d6edabf054d0f2b8162a3712931f3809097b91efc3cedb
comgenvid,17,50,4c1bb441dabbba63e049829afa3790767b0c285009c555d3cafe7c7c5bed5128
comgenvid,17,50,4f65a161f10769d8bc17c2dfc453f79adbc5a45a0cd2b4ed1c55dd36d55e304b
comgenvid,17,50,4fab969efb35c6be95a51bc128ce7006726badc2c9aa5e52cc632d94f886bcd6
comgenvid,17,50,50d8530374265e93e6a439d1db967e998911ab1b41ab8a7b83a60f6a2f5e185c
comgenvid,17,50,54a0c350aa96c6f1768e2f42ab15918a88b2acb80ffc2e12fec73f0454b3debc
comgenvid,17,50,6d771b651badc75ff3d6c54040e404188bc0e079f0090d973c4ab798509a9460
comgenvid,17,50,6e9b4dbf62ef5172c1f930a7306692adaf13964d6e99c531d98fc56a979ca223
comgenvid,17,50,6fc1377d4c32771daf07d23b3f247f2742a860a30145fa75df2befede2733434
comgenvid,17,50,7c9835bf51c1986ea02c298d85b61b0ab6ed469cf3183b2b1b636deff6c6e20e
comgenvid,17,50,89b3ce89c067624017e9f54e9f1051b1cc96bb5b147cefddd24dc4d69a6926fb
comgenvid,17,50,8a75ecca3215b1aed2dc8582a200cedf311066e3901944667b37983e65fa909b
comgenvid,17,50,8c67dec8c5a6309da81f934eac97ba7a7c0ad83e6681f506b76e89cbb396cdb6
comgenvid,17,50,9213a9b4b6f14ea3cac7aaaa0c47bddc6167ac8ee545a8257013adceecce3f07
comgenvid,17,50,95fba8cd91509de284746cc1206c3155f1b142724a8bceb804793d629b915569
comgenvid,17,50,a7948664d54fd3aff7d00cd6222247e86b3c0c5ac5eb7c50740d2fa8455d21b5
comgenvid,17,50,a821bdc27b458cdb7da29037a0de798cdf6c1e554b6abb39b31c9730ab88f989
comgenvid,17,50,b56d3002c4583d3e6e0b7c7900e50243028c2b935d6b6e2d381b600854219ebe
comgenvid,17,50,b5b7ff582d512704cb36959eac1f59b682afff1e5b6edb0ba8efe395e7fb06d7
comgenvid,17,50,c50534f1e0359ff1d9b5b17497fc6172223bc9e51b7a780ae79ac8a7e590f84d
comgenvid,17,50,c67671c7d69dc564bfe167e411b55dd82b25fe75a7884ec99df85b2a1508aed5
comgenvid,17,50,d01f0c1898592f15311750fb3d9a6482b39ef171cb71ee259581ba76cafa23cb
comgenvid,17,50,d2672b43846bb726a5dd40cf81a1e04706d4301c0ff7c9fdaac944117e5ab4ff
comgenvid,17,50,d28278d71651d324df5c43297c6566fe766b14966f4d757a3b821b609bb16fa9
comgenvid,17,50,d39a3c01a09f34ac4e1b6dde2a654668958d8d09ccbe72c49f7cccd3f6cb1ffe
comgenvid,17,50,da75d330d508713d429bae86e92c42000e18a2eccc45c7fe04ef70991b992ece
comgenvid,17,50,da767d11447a713669b3f82751c5cd355469f5a4045a0b84a22596cd8fc3c4ee
comgenvid,17,50,db70e92a9cfd683a0145a7ffa0ebe4e267abe979fc26ee92dcfa62d788c74bad
comgenvid,17,50,de12bf0f74852304f3c9c3d7c0975ec513b567f0f8c67dd885b42a216198c520
comgenvid,17,50,e13183acb205f7507e0368aab8295b3c3fb36f74ca61309c936c96f77935ac62
comgenvid,17,50,e66ffa12a667ca94dc87f63cf7b39d325ea22c2213ebd35696e6cf7af9b7ea32
comgenvid,17,50,ecd08f2bfbeb878b925499f2c27f6502c540c24ad6bf2abb4c5c7b785fce1d42
comgenvid,17,50,f0459967a5ef4c45827d392af03af6d5f4c42093b198053ed26614c07130f016
comgenvid,17,50,f2f4a7aa2f7a899a239edacb8a8007e39c3f1a981afbb6127bd3c1bce0fdaa84
comgenvid,17,50,f879c241df3c9b47cb8e9ca6b65fc1efe0b47e158aca3dc59c54fbee89a18963
comgenvid,17,50,fa82d6977906fb2a8fceec92d30b9071b1f8228924af85045852e406ad78811a
comgenvid,17,50,fbf89aa89d8baaeca7d5fd8dbe6c6d56329190a394c78cca4e88e252613b7f1a
