subset,source_model,filename,fusion,global_weight,patch_spat_weight,patch_temp_weight,patch_temp_mode,match_radius,top_m,temperature,lambda_dist,aggregation,bottomk_ratio,temporal_run_length,patch_region_size,patch_spat_percentile,patch_temp_percentile,patch_final_score,final_score
real,MSVD,-4wsuPCjDBc_5_15.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.3386336863040924,0.6690223813056946,0.6359835267066956,0.6359835267066956
real,MSVD,-7KMZQEsJW4_205_208.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.2656065821647644,0.49175500869750977,0.4691401720046997,0.4691401720046997
real,MSVD,-8y1Q0rA3n8_108_115.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.38103652000427246,0.18786807358264923,0.20718492567539215,0.20718492567539215
real,MSVD,-8y1Q0rA3n8_95_102.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.8127208352088928,0.21378092467784882,0.2736749053001404,0.2736749053001404
real,MSVD,-AwoiGR6c8M_10_14.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.42520612478256226,0.16961130499839783,0.1951707899570465,0.1951707899570465
real,MSVD,-Cv5LsqKUXc_17_25.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.9381625652313232,0.9829210638999939,0.9784452319145203,0.9784452319145203
real,MSVD,-Cv5LsqKUXc_71_76.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.8486454486846924,0.9434629082679749,0.93398118019104,0.93398118019104
real,MSVD,-DKuLXYoY3g_14_20.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.8368669152259827,0.7926973104476929,0.7971142530441284,0.7971142530441284
real,MSVD,-DRy7rBg0IQ_31_37.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.5971731543540955,0.40812721848487854,0.42703181505203247,0.42703181505203247
real,MSVD,-FugkxLmGO4_5_16.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,2,0.04711425304412842,0.28209659457206726,0.25859835743904114,0.25859835743904114
