subset,source_model,filename,fusion,global_weight,patch_spat_weight,patch_temp_weight,patch_temp_mode,match_radius,top_m,temperature,lambda_dist,aggregation,bottomk_ratio,temporal_run_length,patch_region_size,patch_spat_percentile,patch_temp_percentile,patch_final_score,final_score
real,MSR-VTT,video0.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.46173879504203796,0.49118590354919434,0.48824119567871094,0.48824119567871094
real,MSR-VTT,video1.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.6951121687889099,0.45432692766189575,0.4784054458141327,0.4784054458141327
real,MSR-VTT,video10.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.8540664911270142,0.9879807829856873,0.9745893478393555,0.9745893478393555
real,MSR-VTT,video100.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.03125,0.11778846383094788,0.10913461446762085,0.10913461446762085
real,MSR-VTT,video1000.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.21063701808452606,0.46734777092933655,0.44167667627334595,0.44167667627334595
real,MSR-VTT,video1001.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.30719152092933655,0.36638620495796204,0.36046674847602844,0.36046674847602844
real,MSR-VTT,video1002.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.4244791567325592,0.18329326808452606,0.20741185545921326,0.20741185545921326
real,MSR-VTT,video1003.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.2916666567325592,0.3647836446762085,0.35747194290161133,0.35747194290161133
real,MSR-VTT,video1004.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.6065705418586731,0.5529847741127014,0.5583433508872986,0.5583433508872986
real,MSR-VTT,video1005.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.12690304219722748,0.48467546701431274,0.44889822602272034,0.44889822602272034
real,MSR-VTT,video1006.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.9850761294364929,0.5310496687889099,0.5764523148536682,0.5764523148536682
real,MSR-VTT,video1007.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.7718349099159241,0.6349158883094788,0.6486077904701233,0.6486077904701233
real,MSR-VTT,video1008.mp4,patch_only,,0.1,0.9,same_grid_second_order,,,,,mean,0.5,3,3,0.35016027092933655,0.7331730723381042,0.6948717832565308,0.6948717832565308
